ki,id,smiles
5000.0,CHEMBL381689,Cc1ccc(Cn2nc(C(=O)NC3C4(C)CCC(C4)C3(C)C)cc2-c2ccc(Cl)c(C)c2)cc1
840.0,CHEMBL181633,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3cc(I)ccc23)cc1
2920.0,CHEMBL398446,COc1ccc2c(=O)c(C(=O)NC3CCCCC3)cn(CCN3CCOCC3)c2c1
2041.74,CHEMBL578178,CC1(C)C(C(=O)c2cn(Cc3cccnc3)c3ccccc23)C1(C)C
2818.38,CHEMBL270987,COc1cc2c(cc1OCc1ccccc1)c(C(=O)C1C(C)(C)C1(C)C)cn2CC1CCOCC1
389.05,CHEMBL259253,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cccc(O)c23)C1(C)C
960.0,CHEMBL511253,O=C(NC1CCCCCC1)c1cc2cccnc2n(Cc2ccccc2)c1=O
1519.0,CHEMBL467681,C[C@H]1CC[C@@H](NC(=O)c2cc3cccnc3n(Cc3ccccc3)c2=O)CC1
360.0,CHEMBL233182,CCCCCCC(C)(C)c1ccc(-c2cc(C)cc(C)c2)c(CO)c1
560.0,CHEMBL475100,Cc1ccc(-c2nnn(CC3CCCCC3)n2)cc1S(=O)(=O)N1CCOCC1
5000.0,CHEMBL473696,Cc1ccc(-c2nn[nH]n2)cc1S(=O)(=O)N1CCOCC1
310.0,CHEMBL503518,Cc1ccc(-c2n[nH]c(CC3CCCCC3)n2)cc1S(=O)(=O)N1CCOCC1
530.0,CHEMBL473698,Cc1ccc(-c2n[nH]c(C(C)(C)C)n2)cc1S(=O)(=O)N1CCOCC1
25.2,CHEMBL1909843,Cc1c(C(=O)NCc2ccc(Cl)c(Cl)c2)nn(-c2ccc(Cl)cc2Cl)c1-n1cccc1Cl
3.0,CHEMBL1909850,CCc1c(C(=O)NC2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-n1cccc1
1251.0,CHEMBL246146,CNS(=O)(=O)c1cc(Cl)ccc1S(=O)(=O)c1ccc([C@H](C)NS(C)(=O)=O)cc1
3400.0,CHEMBL488933,CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCC(=O)NCCc2ccc(O)c(O)c2)c1
1470.0,CHEMBL161521,CC/C=C/C/C=C\C/C=C\C/C=C\C/C=C/CCCC(=O)NCCO
10200.0,CHEMBL2387532,CCCCCc1cc(OC)c2cc(Cc3ccc(Br)cc3)c(=O)oc2c1
10000.0,CHEMBL2387536,COc1c(C)c(C)c2oc(=O)c(Cc3ccc(F)cc3)cc2c1C
10000.0,CHEMBL2387744,COc1ccccc1Cc1cc2c(C)ccc(C(C)C)c2oc1=O
5.5,CHEMBL485013,CC(C)N1CCc2c(nn(-c3ccccc3Cl)c2-c2ccc(Cl)cc2)C1=O
10000.0,CHEMBL411888,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3cccc([N+](=O)[O-])c23)C1(C)C
10000.0,CHEMBL411673,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3ccc(O)cc23)C1(C)C
1930.0,CHEMBL259463,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(Br)cc23)C1(C)C
2600.0,CHEMBL484393,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H]1CCC(=O)N1
1900.0,CHEMBL514886,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)CCNC=O
5000.0,CHEMBL517283,CCOc1ccc(Cc2nc3cc(N(C)C(=O)CC(C)C)ccc3n2CC2CC2)cc1
1.59,CHEMBL487464,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3cccc(Br)c3)cc1OC2(C)C
5.03,CHEMBL487463,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3ccc(Br)cc3)cc1OC2(C)C
6661.0,CHEMBL383636,O=C1C(c2ccc(Cl)cc2)N(c2ccccc2)C(=O)N1c1ccccc1
15.0,CHEMBL232116,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2c1CCCC2
6309.0,CHEMBL201667,O=C1C(c2ccc(Br)cc2)N(c2ccccc2)C(=S)N1c1ccccc1
243.0,CHEMBL383287,O=C1C(c2ccccc2)N(c2ccc(Br)cc2)C(=O)N1c1ccc(Br)cc1
9.44,CHEMBL123916,CC1=C(CCN2CCOCC2)c2ccccc2/C1=C/c1cccc2ccccc12
1.259,CHEMBL120669,CCCCCCC1(c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)CC1(Cl)Cl
28.18,CHEMBL206859,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C3(C#N)CCCC3)cc1OC2(C)C
630.96,CHEMBL241758,C=C(C)C1CCC(C)=C[C@H]1c1c(O)cc(-c2ccc(C)cc2)cc1O
14.0,CHEMBL393837,CC(C)C[C@@H](CO)NC(=O)c1cnc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)n1
316.0,CHEMBL245665,Cc1ccc(-c2ncc(C(=O)N[C@@H](CO)C(C)C)nc2-c2ccc(C)cc2)cc1
178.0,CHEMBL246478,Cc1ccc(-c2ncc(C(=O)NCCC(C)C)nc2-c2ccc(C)cc2)cc1
5000.0,CHEMBL248135,CCOC(=O)N1CC(C)(C)CS/C1=N\c1ccccc1C(C)C
832.0,CHEMBL425912,C/N=C(\NS(=O)(=O)N1CCS(=O)(=O)CC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
611.0,CHEMBL127644,C1=C(CCN2CCOCC2)c2ccccc2/C1=C/c1cccc2ccccc12
60.0,CHEMBL175292,Cc1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1
10000.0,CHEMBL1215952,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(Cc3ccc(Cl)cc3Cl)ccc21
631.0,CHEMBL398114,Cc1ccc(-c2ncc(C(=O)NCCOc3ccccc3)nc2-c2ccc(C)cc2)cc1
356.0,CHEMBL558785,Cl.Cl.O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)n(-c2ccc(Cl)cc2)n1
15.0,CHEMBL4437290,CCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
2553.0,CHEMBL72163,COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2C(=O)c1c(Cl)cccc1Cl
240.0,CHEMBL230991,Cc1cn(-c2ccc(Cl)cc2Cl)c2c1C(=O)N(C1CCCCC1)CC2
25.0,CHEMBL390544,O=C(NC1CCCCC1)c1cn(-c2ccc(Cl)cc2)c(-c2cc(Cl)ccc2Cl)n1
1500.0,CHEMBL224697,S=C(Nc1ccc(Cl)cc1)NC(c1ccc(Br)cc1)c1ccc(Br)cc1
1100.0,CHEMBL224113,O=C(Nc1ccc(Cl)cc1)NC(c1ccc(Cl)cc1)c1ccc(Cl)cc1
84.0,CHEMBL362822,COc1ccc(S(=O)(=O)c2cc(OC)ccc2S(=O)(=O)c2ccc([C@H](C)NC(=O)c3ccc(Cl)c(Cl)c3)cc2)cc1
1129.0,CHEMBL360306,CCCCS(=O)(=O)N[C@@H](C)c1ccc(S(=O)(=O)c2ccc(OC)cc2S(=O)(=O)c2ccc(OC)cc2)cc1
52.0,CHEMBL1223646,CCCCCC1=NN(C(=O)NC2CCCCC2)CC1c1ccccc1
454.0,CHEMBL1641943,CCCCCn1cc(C(=O)NCC23CC4CC(C)(CC(C)(C4)C2)C3)c(=O)cc1-c1ccccc1
11.9,CHEMBL1223648,CCCCCC1=NN(C(=O)NC2CCCCCCC2)CC1c1ccccc1
6.4,CHEMBL1224630,CCCCCC1=NN(C(=O)NC2C3CC4CC(C3)CC2C4)CC1c1ccccc1
10000.0,CHEMBL4284521,O=C(O)COc1ccc2c(c1)c(C(=O)c1cccc3ccccc13)cn2CCN1CCOCC1
10000.0,CHEMBL4295181,COc1ccc(C(=O)c2cn(CC3CCOCC3)c3ccc(OCC(=O)O)cc23)cc1
4527.0,CHEMBL4287330,CCCOc1ccc2c(c1)c(C(=O)c1ccc(OC)cc1)cn2CC1CCOCC1
1500.0,CHEMBL199960,CCCCCCCC/C=C\CCCCCCCC(=O)Nc1ccc(OC)cc1
750.0,CHEMBL388398,O=C(Nc1ccc(Br)cc1)NC(c1ccc(I)cc1)c1ccc(I)cc1
10000.0,CHEMBL2206841,CCCn1c(C)c(C(=O)c2cccc3cccc(Cl)c23)c2ccccc21
1292.0,CHEMBL1269772,Cc1c(C(=O)NCCCCCCCCCCCN(C)CCCCCCCCCCCNC(=O)c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
10000.0,CHEMBL1822931,COc1ccc2cc(C(=O)NCC(F)c3ccccc3)c(=O)[nH]c2c1OC
10000.0,CHEMBL202339,C=CCCCCCCCCC(=O)NCCc1ccc(OC)cc1
0.6,CHEMBL138917,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCCC#N)cc1OC2(C)C
398.5,CHEMBL2152808,CC1(C)C2CC[C@](C)(C2)[C@@H]1NC(=O)c1cn(CCCCO)c2cc(F)ccc2c1=O
12.5,CHEMBL56799,CCCCCCC(C)(C)c1ccc(-c2cc(C)cc(C)c2)c(O)c1
115.0,CHEMBL393032,C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2c(F)cccc2N(C)C)cc1
28.0,CHEMBL271782,Cc1c(C(=O)NC2CCCCC2)nn(-c2c(Cl)cc(Cl)cc2Cl)c1-n1c(C)ccc1C
2800.0,CHEMBL410913,Cc1c(C(=O)NCc2ccc(Cl)c(Cl)c2)nn(-c2ccc(F)cc2F)c1-n1cccc1
38.0,CHEMBL259476,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-n1c(C)ccc1C
1917.0,CHEMBL73711,COc1ccc2c(c1)c(CCN1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1Cl
2820.0,CHEMBL271610,N#Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2)c1-n1cccc1
2.3,CHEMBL285932,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1
93.66,CHEMBL525067,CC(C)(c1ccccc1)c1cc(O)c(-c2cc(Cl)cc(Cl)c2)c(O)c1
739.0,CHEMBL500414,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(Oc3ccc(F)c(Cl)c3)ccc21
1000.0,CHEMBL460754,COc1cc(C(=O)c2ccccc2)cc(O)c1-c1cc(Cl)cc(Cl)c1
1.1,CHEMBL4578966,CCCN(CC(F)(F)F)C(=O)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1
0.8,CHEMBL4466640,CC(C)CN(C)C(=O)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1
0.26,CHEMBL4463013,COCCN(C)C(=O)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1
16800.0,CHEMBL75571,COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1
503.0,CHEMBL1081624,COc1cc(C(=O)c2cccs2)cc(O)c1-c1cc(Cl)cc(Cl)c1
3.7,CHEMBL3923170,Cc1cccc(-c2c(O)cc(C(C)(C)c3cccs3)cc2O)c1
325.0,CHEMBL3942936,O=S(=O)(NCC1CC1)c1ccc(NN2CCCCCC2)cc1C(F)(F)F
10000.0,CHEMBL199824,Cn1c(=O)cnn(CCCCN2CCN(c3cccc4ccc(O[11CH3])cc34)CC2)c1=O
500.0,CHEMBL425217,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1ccc(OC)cc1OC
1300.0,CHEMBL199402,CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1cc(OC)cc(OC)c1
2800.0,CHEMBL373056,CCCCCCCC/C=C/C(=O)NCCc1cc(OC)cc(OC)c1
2400.0,CHEMBL198182,CCCCCCCC/C=C/C(=O)NCCc1ccc(OC)cc1
12.0,CHEMBL1911374,O=c1n(Cc2ccc(C(F)(F)F)nc2)nc2c(-c3ccncc3)c(-c3ccc(Cl)cc3)cnn12
8.4,CHEMBL3260744,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3C)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O
1.9,CHEMBL3260748,Cc1nc(C(F)(F)F)ccc1Cn1c(=O)c(-c2ccc(C#N)cc2)c(-c2ccc(Cl)cc2)c2nn(C(C)C)c(=O)n21
4.7,CHEMBL3260753,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3cnc(C)nc3)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O
92.0,CHEMBL3260755,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3cnn(C)c3)c(=O)n(Cc3ccc(C#N)cc3)n2c1=O
150.0,CHEMBL199873,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc(N2CCOCC2)cc1
23.3,CHEMBL4577001,C1=C(CCN2CCOCC2)c2ccccc2/C1=C/c1ccnc2ccccc12
0.859,CHEMBL4483714,CCc1ccc(/C=C2\C=C(CCN3CCOCC3)c3ccccc32)c2ccccc12
5.0,CHEMBL15528,Cc1c(C(=O)NN2CC3CCCC3C2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
237.0,CHEMBL245469,Cc1ccc(-c2ncc(C(=O)N[C@H](CO)C(C)C)nc2-c2ccc(C)cc2)cc1
18.0,CHEMBL246063,Cc1ccc(-c2ncc(C(=O)NCCCc3ccccc3)nc2-c2ccc(C)cc2)cc1
37.5,CHEMBL1631299,Cc1c(C(=O)NCCC(C)(C)C)nn(-c2ccc(Cl)cc2Cl)c1-n1c(C)ccc1C
2269.0,CHEMBL549366,CC(C)NC(=O)C(C)Sc1nnc2c3ccccc3n(Cc3ccccc3)c2n1
11.0,CHEMBL2152811,CCCn1cc(C(=O)N[C@@H]2C(C)(C)C3CC[C@]2(C)C3)c(=O)c2ccc(Sc3ccccc3)cc21
58.2,CHEMBL2152823,CCCCCn1cc(C(=O)NC(CC)CO)c(=O)c2ccc(Sc3ccccc3)cc21
86.0,CHEMBL2316282,CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)csc21
1049.0,CHEMBL563830,O=C(c1ccc(-n2cnnn2)cc1)N(c1ccccc1)C1(C(=O)Nc2ccccc2)CCCCC1
246.0,CHEMBL232538,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2nonc12
763.0,CHEMBL398145,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2ncccc12
30.0,CHEMBL232328,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2ccccc12
418.0,CHEMBL232131,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1ccccc1C(F)(F)F
95.0,CHEMBL392842,CCc1ccc(/N=C2\SCC3(CCCCC3)CN2C(=S)SC)cc1
1260.0,CHEMBL392841,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1ccc(C(C)C)cc1
5000.0,CHEMBL391561,CCC1(CC)CS/C(=N\c2ccccc2C(C)C)N(C(=S)SC)C1
4.0,CHEMBL379667,O=c1c2nn(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)c2ncn1Cc1ccccc1
2183.0,CHEMBL307627,Cc1c(CCN2CCOCC2)c2ccccc2n1C(=O)c1cccc2ccccc12
1.0,CHEMBL201520,O=C1C2N=C(c3ccccc3Cl)N(c3ccc(Cl)cc3)C2N=CN1CC(F)(F)F
1000.0,CHEMBL4164392,CCCCCNc1ncnc2oc(-c3ccccc3Cl)nc12
1000.0,CHEMBL4163588,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)oc2n1
1.82,CHEMBL57802,C=C1CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCCC)cc1OC2(C)C
228.0,CHEMBL411244,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(-c4ccccc4)ccc23)C1(C)C
25.12,CHEMBL271810,COC(=O)c1ccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c2c1
