,id,smiles,value_type,value,units
190,CHEMBL248387,Cc1c(C(C)(C)C)s/c(=N\C(=O)c2cc(C(F)(F)F)ccc2N(C)C)n1CC1CC1,IC50,9.4,nM
192,CHEMBL464914,CC(C)c1cc(Nc2cccc(C(F)(F)F)c2F)ncc1C(=O)NCC1CCOCC1,EC50,63.1,nM
194,CHEMBL576706,CC1(C)C(C(=O)c2cn(CCCCO)c3ccccc23)C1(C)C,EC50,2.1,nM
195,CHEMBL249025,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCCC1)C2,EC50,0.8,nM
199,CHEMBL462330,CCOc1ccc(Cc2nc3cc(N(C)C(=O)N(CC)CC)ccc3n2CC2CC2)cc1,Ki,5.9,nM
201,CHEMBL409669,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3c(F)c(F)c(F)c(F)c23)C1(C)C,Ki,5.0,nM
202,CHEMBL272882,COc1ccc2c(c1)c(C(=O)C1C(C)(C)C1(C)C)cn2CC1CCOCC1,Ki,4.571,nM
203,CHEMBL466047,C[C@H]1CC[C@@H](NC(=O)c2cc3cccnc3n(Cc3ccc(F)cc3)c2=O)CC1,Ki,0.7,nM
204,CHEMBL466651,CC1CCC(NC(=O)c2cc3cccnc3n(Cc3ccc(F)cc3)c2=O)CC1,Ki,0.9,nM
205,CHEMBL512063,C[C@H]1CC[C@H](NC(=O)c2cc3cccnc3n(Cc3ccc(F)cc3)c2=O)CC1,Ki,9.0,nM
206,CHEMBL236374,Cc1c(C(C)(C)C)s/c(=N\S(=O)(=O)c2cccc3ccccc23)n1CC1CC1,EC50,7.2,nM
208,CHEMBL4237501,CC1=CC[C@H]2[C@H](C1)c1c(O)cc(/C(C)=N/OCCCc3ccccc3)cc1OC2(C)C,EC50,1.65,nM
213,CHEMBL3647328,CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2OC[C@H](C)O)sc2ccncc21,Ki,2.0,nM
214,CHEMBL232410,CCCCCCC(C)(C)c1ccc(-c2c(C)cccc2C)c(O)c1,Ki,18.0,nM
216,CHEMBL515102,Cc1ccc(-c2nnn(CC(C)(C)C)n2)cc1S(=O)(=O)N1CCOCC1,EC50,49.0,nM
217,CHEMBL503518,Cc1ccc(-c2n[nH]c(CC3CCCCC3)n2)cc1S(=O)(=O)N1CCOCC1,EC50,57.0,nM
228,CHEMBL270955,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(O)cc23)C1(C)C,EC50,7.0,nM
229,CHEMBL2336536,CCN(CC)c1ccc(CN(Cc2ccco2)S(=O)(=O)c2ccc(C)cc2)cc1,Ki,9.5,nM
232,CHEMBL563929,CCCCCn1cc(C(=O)c2cccc3cc(OC)ccc23)c2ccccc21,Ki,1.901,nM
233,CHEMBL562350,CCCn1c(C)c(C(=O)c2ccc(CC)c3ccccc23)c2ccccc21,Ki,11.99,nM
235,CHEMBL186674,CCCCCn1cc(C(=O)Cc2cccc(OC)c2)c2ccccc21,Ki,89.13,nM
240,CHEMBL490648,CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCC(=O)NC2CC2)c1,Ki,7.9,nM
242,CHEMBL471367,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3ccc(C(N)=O)cc3)cc1OC2(C)C,Ki,13.6,nM
243,CHEMBL471988,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3ccc(Cl)cc3)cc1OC2(C)C,Ki,1.68,nM
