,id,smiles,value_type,value,units
6943,CHEMBL595268,CCCCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCOCC2)c1,Ki,1.1,nM
6955,CHEMBL2205591,O=C(Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCOC2)c1ccccc1C(F)(F)F,Ki,81.5,nM
6960,CHEMBL2204893,O=C(Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCC(F)(F)C2)c1ccccc1Cl,EC50,49.0,nM
6964,CHEMBL2205578,CC1(C)CCc2sc(NC(=O)c3ccccc3Cl)c(C(=O)NCC3CC3)c21,EC50,0.55,nM
6967,CHEMBL3890458,CC(C)[C@](C)(CO)NC(=O)c1cc(Cc2ccc(F)cc2)c(Cl)cn1,EC50,5.8,nM
6969,CHEMBL3669077,COc1nc(NCCc2ccc(F)cc2)nc(-c2cc3cc(Cl)ccc3[nH]2)n1,IC50,14.0,nM
6971,CHEMBL3897023,O=S(=O)(NCC1CC1)c1ccc(Nc2ccc(F)cc2F)cc1C(F)(F)F,Ki,53.0,nM
6975,CHEMBL3914042,O=S(=O)(NCC1CC1)c1ccc(NC2CCCCCC2)cc1C(F)(F)F,IC50,78.0,nM
6982,CHEMBL382684,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(-c3ccc(C)cc3)cc1OC2(C)C,Ki,71.81,nM
6989,CHEMBL1641957,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)cc1-c1ccc(C)cc1,Ki,13.2,nM
6990,CHEMBL1668513,CCC(C)(C)C(=O)Cc1cc(C)c(C)c(S(=O)(=O)N2CCCCCC2)c1,Ki,9.0,nM
6992,CHEMBL1644736,COc1ccc(F)c(-c2c[nH]c(-c3cccc(CN4CCC(F)CC4)c3)n2)c1,EC50,5.0,nM
6994,CHEMBL1644743,CCOc1ccc(F)c(-c2c[nH]c(-c3cccc(CN4CCCCC4)c3)n2)c1,EC50,87.0,nM
6996,CHEMBL482355,CSC(=S)N1CC2(CCCCC2)CO/C1=N\c1ccc(F)c2ccccc12,Ki,0.8,nM
7013,CHEMBL250493,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCCCC4)ccc31)CN(C1CCCC1)C2,EC50,1.7,nM
7016,CHEMBL248386,Cc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)c(C)n1CC1CC1,EC50,2.7,nM
7018,CHEMBL247997,COc1cccc(C(=O)/N=c2\sc(C(C)(C)C)c(C)n2CC2CC2)c1,IC50,24.0,nM
7023,CHEMBL410677,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(F)cc23)C1(C)C,EC50,22.0,nM
7037,CHEMBL381211,C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2cccc(Cl)c2)cc1,Ki,23.0,nM
7038,CHEMBL197955,COc1ccc(S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)c(S(=O)(=O)c2ccccc2)c1,Ki,0.6,nM
7040,CHEMBL198452,CCC(c1ccc([C@H](C)NS(C)(=O)=O)cc1)c1ccc(Cl)cc1S(=O)(=O)c1ccc(Cl)cc1,Ki,76.0,nM
7045,CHEMBL264521,CCCCCn1cc(C(=O)NC2C3CC4CC(C3)CC2C4)c(=O)c2ccccc21,EC50,24.8,nM
7047,CHEMBL200143,CCCCCn1cc(C(=O)N[C@H](C)c2ccccc2)c(=O)c2ccccc21,EC50,16.8,nM
7058,CHEMBL3093358,CCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc([18F])cc3)c(=O)[nH]c12,Ki,2.8,nM
7061,CHEMBL2163944,CC(C)C1COc2cccc3c(=O)c(C(=O)NC45CC6CC(CC(C6)C4)C5)cn1c23,Ki,3.74,nM
7064,CHEMBL4557732,COC(=O)c1cc(-c2ccccc2)sc1NC(=O)C12CC3CC(CC(C3)C1)C2,Ki,6.48,nM
7071,CHEMBL4454159,CC(C)(C)c1nc2cc(NS(C)(=O)=O)ccc2n1CC1CCC(F)(F)CC1,Ki,0.871,nM
7072,CHEMBL4069848,CCCCCn1cc(C(=O)c2ccccc2OC)c2ccccc21,EC50,6.9,nM
7081,CHEMBL2022698,O=C(NC1CCCCCC1)c1cccn(Cc2ccc(F)cc2)c1=O,Ki,7.8,nM
7086,CHEMBL2316279,CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)noc21,EC50,14.3,nM
7098,CHEMBL3354562,O=C(Nc1nc2c(Cl)cccc2s1)[C@@H]1CCCCN1C(=O)N1CCS(=O)(=O)CC1,EC50,27.0,nM
7103,CHEMBL3234701,CC(C)CCS(=O)(=O)C(C)(C)C(=O)Nc1cc(C(C)(C)C)no1,EC50,0.04,nM
7106,CHEMBL3650081,CCCCn1nc(C(C)(C)C)s/c1=N/C(=O)c1cc(C(F)(F)F)ccc1ONC(=O)OC(C)(C)C,Ki,0.32,nM
7110,CHEMBL3114521,CCn1c(C(=O)NCc2ccccc2F)nc2c(-c3ccccc3)cccc21,EC50,45.0,nM
7122,CHEMBL2414022,CCCCCOc1ccccc1-c1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)no1,Ki,36.0,nM
7125,CHEMBL3357371,CC(C)(C)Cc1nc2cc(S(=O)(=O)C3CCN(C(N)=O)CC3)ccc2n1CC1CC1,EC50,6.3,nM
7126,CHEMBL3357384,CC(=O)N1CCC(Cn2c(CC(C)(C)C)nc3cc(S(=O)(=O)C4CN(C)C4)ccc32)CC1,EC50,56.0,nM
7130,CHEMBL2204902,CC(C)(C)CC(=O)Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCCC2,EC50,5.4,nM
7136,CHEMBL3092897,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)n(C3CC3)c2n1,Ki,13.7,nM
7137,CHEMBL3092908,CCN1CCN(c2nc(C)nc3c2nc(-c2ccccc2Cl)n3CCOC)CC1,Ki,13.0,nM
7140,CHEMBL4115543,CC(C)[C@@](C)(CO)NC(=O)c1cnc(C2CC2)c(OCC2CC2)n1,EC50,36.9,nM
7141,CHEMBL3911518,NC(=O)[C@@H](NC(=O)c1cnc(N2CC(F)(F)C2)c(OCC2CC2)n1)c1ccc(F)cc1,EC50,31.2,nM
7145,CHEMBL3947695,CCC(CC)(NC(=O)c1ccc(C)c(-c2cccc(Cl)c2)n1)C(=O)NC,EC50,57.4,nM
7146,CHEMBL4115209,Cc1nc([C@@](C)(CC2CC2)NC(=O)c2cc(OCC(F)(F)F)c(Cl)cn2)no1,EC50,65.1,nM
7148,CHEMBL3953148,CC(C)(C)C(NC(=O)c1cc(OCC2CC2)c(N2CC(F)(F)C2)cn1)C(N)=O,EC50,21.1,nM
7149,CHEMBL3903034,CC(C)[C@H](CO)NC(=O)c1cc(OCC2CC2)c(Cl)cn1,EC50,55.4,nM
7152,CHEMBL3986075,Cc1nc(C(C)(CS(C)(=O)=O)NC(=O)c2cc(OCC(F)(F)F)c(C3CC3)cn2)no1,EC50,48.8,nM
7153,CHEMBL3894408,O=C(NCC1(O)CCCC1)c1cc(OCC2CC2)c(C2CC2)cn1,EC50,18.1,nM
7157,CHEMBL3936626,O=C(c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1)N1CC(F)(C2CC2)C1,EC50,8.0,nM
7172,CHEMBL3982062,Cc1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)n1-c1ccccc1,Ki,7.59,nM
7180,CHEMBL3911429,CC(C)(NC(=O)c1ccc(N2CC(O)C2)c(OCC2CC2)n1)c1nccs1,EC50,15.2,nM
7188,CHEMBL4104511,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2ccccc21,EC50,29.0,nM
7195,CHEMBL1269973,C[C@@H]1CN(S(=O)(=O)c2cc3ccccc3n2S(=O)(=O)c2ccccc2F)CC[C@@H]1CNS(=O)(=O)C(F)(F)F,Ki,1.5,nM
7196,CHEMBL1270479,C[C@@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)n2cccc2S(=O)(=O)c2ccccc2F)cc1,Ki,8.4,nM
7201,CHEMBL2381800,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(-c3ccc(Cl)cc3Cl)cc12,Ki,30.0,nM
7203,CHEMBL2381808,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(CC)cc12,Ki,5.22,nM
7215,CHEMBL2414033,CCCCCOc1ccccc1-c1cc(C(=O)NC2CCCCC2)no1,Ki,22.8,nM
7216,CHEMBL3952968,COC(=O)C(C)(C)NC(=O)c1cc(I)c(Cl)cn1,EC50,35.6,nM
7218,CHEMBL3900364,Cc1nc([C@@H](NC(=O)c2cnc(C3CC3)c(OCC3CC3)n2)C2CC2)no1,EC50,30.8,nM
7220,CHEMBL3940625,CC(C)(CC(N)=O)NC(=O)c1cnc(C2CC2)c(OCC2CC2)n1,EC50,43.2,nM
7221,CHEMBL3986907,CC(C)(CC(N)=O)NC(=O)c1cnc(N2CC(F)(F)C2)c(OCC2CC2)n1,EC50,11.8,nM
7231,CHEMBL402938,Cn1c(C(C)(C)C)c/c(=N\C(=O)c2cc(C(F)(F)F)ccc2F)n1CC1CC1,EC50,8.8,nM
7250,CHEMBL3410821,CCCCCOc1cc(/C=C/C(=O)NCCc2ccncc2)ccc1OC,Ki,44.0,nM
7252,CHEMBL2023577,O=C(O)Cc1ccc(NC(=O)c2cc3c(n(CC4CCCCC4)c2=O)CCCCCC3)cc1,Ki,74.0,nM
7253,CHEMBL2348275,CCCCn1c(C)c(C)cc(NC(=O)c2ccccc2F)c1=O,Ki,88.0,nM
7258,CHEMBL1765156,O=C(c1cccc2[nH]ccc12)N1CC[C@](O)(c2ccccc2)[C@H]2CCCC[C@@H]21,IC50,22.0,nM
7261,CHEMBL1800742,CC(C)(C)c1ccc2oc(N3CCCN(c4ncc(C(F)(F)F)cc4Cl)CC3)nc2c1,EC50,0.51,nM
7266,CHEMBL604307,Cc1nc(C(=O)NC2C3CC4CC(C3)CC2C4)c(C)n1-c1ccccc1,EC50,6.31,nM
7269,CHEMBL599882,CCc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)n1-c1ccccc1,Kd,5.012,nM
7270,CHEMBL577986,Clc1ccc(-c2ccc(N3CCCCCC3)nc2)nc1,EC50,100.0,nM
7271,CHEMBL238082,O=C1/C(=C/c2cn(Cc3ccccc3)c3ccccc23)N2CCC1CC2,Ki,11.7,nM
7273,CHEMBL229872,CCCCCc1ccc(OCCCCCCCCCCC(=O)NC2CC2)cc1O,Ki,13.0,nM
7277,CHEMBL3686289,Cn1ccnc1COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,Ki,53.0,nM
7278,CHEMBL3686341,O=C(CCCOc1ccc(Cl)cc1Cl)NN/C=C1\C=CC=CC1=O,Ki,3.6,nM
7303,CHEMBL600254,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(Cl)nc12,Ki,23.8,nM
7310,CHEMBL3092893,COCCn1c(-c2ccccc2Cl)nc2c(N3CCN4C(=O)CCC4C3)nc(C)nc21,EC50,8.4,nM
7311,CHEMBL3092891,COCCn1c(-c2ccccc2Cl)nc2c(N3CCN(CCF)CC3)nc(C)nc21,EC50,4.5,nM
7313,CHEMBL3114524,O=C(NC12CC3CC(CC(C3)C1)C2)c1nc2c(-c3ccccc3)cccc2[nH]1,EC50,1.9,nM
7314,CHEMBL3114522,CCn1c(C(=O)NCc2ccc(C#N)cc2)nc2c(-c3ccccc3)cccc21,EC50,84.0,nM
7331,CHEMBL2170548,CCCCCn1cc(C(=O)NCC2CC2)c(=O)cc1C(C)(C)C,EC50,27.8,nM
7337,CHEMBL3353424,CCCCCn1c(=O)c(C(=O)NC2CCC(C)CC2)cc2cccnc21,Ki,2.82,nM
7339,CHEMBL3353447,CC1CCC(NC(=O)c2cc3cc(-c4ccc(F)cc4)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,Ki,2.17,nM
7350,CHEMBL558801,CCCn1c(C)c(C(=O)c2cccc3ccc(C)cc23)c2ccccc21,Ki,16.0,nM
7351,CHEMBL564888,CCCCCn1c(C)c(C(=O)c2ccc(OC)c3ccccc23)c2ccccc21,Ki,1.901,nM
7352,CHEMBL3114173,CC1CCC(NC(=O)c2cccn(Cc3ccccc3)c2=O)CC1,Ki,53.0,nM
7353,CHEMBL189035,CCCCCn1cc(C(=O)Cc2ccccc2Cl)c2ccccc21,Ki,7.015,nM
7355,CHEMBL3114534,O=C(NC12CC3CC(CC(C3)C1)C2)c1nc(C(O)c2cccnc2)c2ccccn12,IC50,4.5,nM
7367,CHEMBL2163927,CC(C)[C@H]1COc2cccc3c(=O)c(C(=O)NC45CC6CC(CC(C6)C4)C5)cn1c23,Ki,16.2,nM
7371,CHEMBL2163941,O=C(NC1CCCCC1)c1cn2c3c(cccc3c1=O)OCC2C1CC1,Ki,15.3,nM
7373,CHEMBL2022696,O=C(NC1CCCCC1)c1cccn(Cc2ccc(F)cc2)c1=O,Ki,20.0,nM
7374,CHEMBL2022365,O=C(NC1CCCCC1)c1c(O)c2cccnc2n(Cc2ccccc2)c1=O,Ki,79.0,nM
7380,CHEMBL2019078,O=C(NC1(C(=O)O)CCCCCCC1)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2,Ki,6.2,nM
7385,CHEMBL3114526,CC(C)(C)CNC(=O)c1nc2c(-c3ccccc3)cccc2[nH]1,EC50,14.7,nM
7398,CHEMBL234014,COC(=O)CCC(C)(C)c1ccc(-c2cc(C)cc(C)c2)c(O)c1,Ki,5.6,nM
7403,CHEMBL578848,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(-c2ccc(Cl)c(Cl)c2)c1-n1cccc1,Ki,20.0,nM
7412,CHEMBL3909495,Cc1ccc(C(=O)N[C@@H](CC2CC2)c2nccs2)nc1OCC1CC1,EC50,33.8,nM
7413,CHEMBL4115612,COC(=O)[C@@H](NC(=O)c1ccc(C2CC2)c(OCC2CC2)n1)C(C)(C)C,EC50,1.1,nM
7416,CHEMBL3938697,O=C(N[C@@H](c1ccccn1)C(F)(F)F)c1ccc(C2CC2)c(Cc2ccc(F)cc2)n1,EC50,4.5,nM
7417,CHEMBL3933106,CC(C)C[C@H](NC(=O)c1ccc(C2CC2)c(S(=O)(=O)CC(C)C)n1)C(N)=O,EC50,39.9,nM
7424,CHEMBL3903761,Cc1cnc(C(C)(CC2CC2)NC(=O)c2cc(OCC(F)(F)F)c(C3CC3)cn2)s1,EC50,12.4,nM
7425,CHEMBL3903056,CC(C)(C)C(NC(=O)c1cc(OCC(F)(F)F)c(C2CC2)cn1)C(=O)N1CCC12COC2,EC50,36.4,nM
7426,CHEMBL3960124,CCN(C(=O)c1cc(OCC(F)(F)F)c(C2CC2)cn1)C(C)(C)C,EC50,82.2,nM
7439,CHEMBL2348460,CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2C[C@@H](C=O)CC[C@H]21,Ki,9.0,nM
7443,CHEMBL4641494,Cn1cc2c(n1)c(O)c(C(=O)NC13CC4CC(CC(C4)C1)C3)c(=O)n2CCCCO,Ki,14.3,nM
7444,CHEMBL4639191,CN1N=CC2C1C(O)=C(C(=O)NC13CC4CC(CC(O)(C4)C1)C3)C(=O)N2CCCCF,Ki,18.9,nM
7446,CHEMBL3353439,CC1CCC(NC(=O)c2cc3cc(Br)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,Ki,0.18,nM
7447,CHEMBL2380413,CCCCn1cc(-c2cccc3ccccc23)c2cccc(OC)c21,Ki,26.5,nM
7462,CHEMBL3104360,CCCCOC(=O)C(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,Ki,1.7,nM
7470,CHEMBL2387075,CCCCn1c2c(cc(C(=O)NCc3ccccc3)c1=O)CCC2,Ki,16.0,nM
7476,CHEMBL3590634,CCCCN1C(=O)/C(=C/NC(C)C(C)C)C(=O)c2cccc(C)c21,EC50,82.99,nM
7477,CHEMBL2177249,CCCCCc1cc(OC)c2cc(Cc3cccc(OC)c3)c(=O)oc2c1,EC50,92.0,nM
7481,CHEMBL3647333,CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2OC[C@H](C)O)sc2ncccc21,Ki,1.4,nM
7483,CHEMBL3686327,C/C(CN1CCC[C@H]1COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1)=N\O,Ki,85.0,nM
7497,CHEMBL3686343,CC(C)(C)CO/C=N/CCCOc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,Ki,4.9,nM
7513,CHEMBL2087108,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccco3)ccc21,Ki,2.48,nM
7518,CHEMBL3092888,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3C)n(C3CCOCC3)c2n1,EC50,15.9,nM
7529,CHEMBL3093359,COc1ccc(S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)c(S(=O)(=O)c2ccc(O[11CH3])cc2)c1,Ki,4.5,nM
7531,CHEMBL238083,OC1/C(=C/c2cn(Cc3ccccc3)c3ccccc23)N2CCC1CC2,Ki,55.3,nM
7532,CHEMBL2348462,CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2C[C@H](CO)CC[C@H]21,Ki,11.3,nM
7533,CHEMBL2316261,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2ncnc12,Ki,20.0,nM
7548,CHEMBL75330,CC1=CCC2C(C1)c1c(O)cc(CCCCCF)cc1OC2(C)C,Log Ki,8.709635899560805,nM
7552,CHEMBL2179754,O=C(Cc1ccccc1)NC(NC(=O)Cc1ccccc1)c1ccc(N2CCCC2)cc1,Ki,71.0,nM
7570,CHEMBL2170534,Cc1cc(=O)c(C(=O)NC23CC4CC(CC(C4)C2)C3)cn1CC1CCOCC1,EC50,47.4,nM
7584,CHEMBL524884,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(C(F)(F)F)ccc21,Ki,11.6,nM
7621,CHEMBL1631297,Cc1c(C(=O)NC(C)(C)C)nn(-c2ccc(Cl)cc2Cl)c1-n1c(C)ccc1C,Ki,20.2,nM
7649,CHEMBL605199,CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCS(=O)(=O)CC2)c1,Ki,8.4,nM
7651,CHEMBL602591,CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCCCCC2)c1,Ki,9.0,nM
7652,CHEMBL568468,Cc1cc(NC(=O)C2CCCCC2C)cc(CN2CCOCC2)c1C,EC50,21.0,nM
7671,CHEMBL1835125,O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1C1CCC1,EC50,3.981,nM
7672,CHEMBL1835120,CCCN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C1=O,EC50,1.259,nM
7685,CHEMBL2029725,CN(CC(=O)NC1CC1)C(=O)c1ccc2c(c1)c1c(n2C)CC[C@@H](C2CCOCC2)C1,Ki,21.5,nM
7690,CHEMBL272754,Cc1c(C(=O)/N=c2\cc(C(C)(C)C)n(C)n2CC2CC2)cccc1C(F)(F)F,EC50,4.4,nM
7694,CHEMBL552088,CCCCCn1cc(C(=O)c2cccc3ccc(OC)cc23)c2ccccc21,Ki,6.902,nM
7695,CHEMBL558474,CCCCCn1cc(C(=O)c2ccc(CCCC)c3ccccc23)c2ccccc21,Ki,7.194,nM
7696,CHEMBL552150,CCCCc1ccc(C(=O)c2c(C)n(CCC)c3ccccc23)c2ccccc12,Ki,48.98,nM
7701,CHEMBL3967860,O=C(c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1)N1CC(O)(C(F)(F)F)C1,EC50,42.0,nM
7702,CHEMBL3906905,O=C(c1ccc(C2CC2)c(OCC2CC2)n1)N1CCC(CO)(C(F)(F)F)C1,EC50,26.3,nM
7706,CHEMBL3930382,NC(=O)[C@@H]1CC(F)(F)CN1C(=O)c1ccc(C2CC2)c(OCC2CC2)n1,EC50,2.7,nM
7707,CHEMBL3935206,NC(=O)CC1(NC(=O)c2cnc(N3CC(F)(F)C3)c(OCC3CC3)n2)COC1,EC50,5.8,nM
7708,CHEMBL3946399,CC(C)C(NC(=O)c1cnc(C2CC2)c(OCC2CC2)n1)C(=O)N(C)C,EC50,8.6,nM
7709,CHEMBL3978729,NC(=O)C(CC1CCC1)NC(=O)c1cnc(N2CC(F)(F)C2)c(OCC2CC2)n1,EC50,5.6,nM
7710,CHEMBL3920295,O=C(NC(CO)CC1CCC1)c1cnc(C2CC2)c(OCC2CC2)n1,EC50,37.0,nM
7719,CHEMBL57802,C=C1CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCCC)cc1OC2(C)C,Ki,0.58,nM
7722,CHEMBL3909578,CCC(CC)(NC(=O)c1cc(OCC2CC2)c(C2CC2)cn1)C(=O)NC,EC50,17.0,nM
7723,CHEMBL3932973,CC(C)(C)C(NC(=O)c1cc(OCC(F)(F)F)c(C2CC2)cn1)c1nccs1,EC50,5.8,nM
7724,CHEMBL3917914,CCC(CC)(NC(=O)c1ccc(N2CCC(F)(F)C2)c(OCC2CC2)n1)C(=O)NC,EC50,4.6,nM
7726,CHEMBL3986467,Cc1nc(C(C)(C)NC(=O)c2ccc(C3CC3)c(-c3cccc(Cl)c3)n2)no1,EC50,95.8,nM
7727,CHEMBL3950558,CC(C)(CO)NC(=O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1,EC50,84.1,nM
7728,CHEMBL3947228,Cc1nc(C2(NC(=O)c3ccc(C4CC4)c(OCC4CC4)n3)CCC2)no1,EC50,46.8,nM
7729,CHEMBL3895595,NC(=O)CC1(NC(=O)c2cc(OCC3CC3)c(N3CC(F)(F)C3)cn2)CS(=O)(=O)C1,EC50,10.5,nM
7730,CHEMBL3982567,NC(=O)CC1(NC(=O)c2cc(OCCF)c(C3CC3)cn2)CS(=O)(=O)C1,EC50,23.1,nM
7733,CHEMBL3949331,Cc1nc(C(C)(CC2CC2)NC(=O)c2cc(OC(C)CF)c(C3CC3)cn2)no1,EC50,0.8,nM
7735,CHEMBL3920679,COC(=O)C(C)C(C)(C)NC(=O)c1cc(OCC2CC2)c(Cl)cn1,EC50,9.5,nM
7736,CHEMBL3979919,O=C(NC1(c2ncco2)COC1)c1cc(OCC2CC2)c(Cl)cn1,EC50,51.7,nM
7738,CHEMBL3923684,CCN(C(=O)c1cc(OCC2CC2)c(C2CC2)cn1)C(C)(C)C,EC50,9.5,nM
7739,CHEMBL2316406,COCc1ccc(C(=O)Nc2cccnc2C(=O)NCC2CCC2)c2ccccc12,IC50,19.0,nM
7758,CHEMBL2163946,CCC1COc2c(F)ccc3c(=O)c(C(=O)NC45CC6CC(CC(C6)C4)C5)cn1c23,Ki,7.34,nM
7759,CHEMBL1682272,CN(CC(N)=O)Cc1nc(-c2cn(CC3CCOCC3)c3c(Cl)cccc23)no1,Ki,6.31,nM
7778,CHEMBL3914196,CCC(CC)(NC(=O)c1ccc(C2CC2)c(OCC2CC2)n1)C(=O)NCCO,EC50,5.2,nM
7780,CHEMBL3984352,O=C(N[C@@H](CC1CC1)C(=O)NC1CCC(O)C1)c1ccc(C2CC2)c(OCC2CC2)n1,EC50,26.4,nM
7781,CHEMBL4113852,Cc1nc([C@](C)(NC(=O)c2ccc(C3CC3)c(S(=O)(=O)CC(C)C)n2)C2CC2)no1,EC50,11.4,nM
7784,CHEMBL3960251,Cc1cnc(C(C)(C)NC(=O)c2ccc(C3CC3)c(OCC3CC3)n2)s1,EC50,3.6,nM
7785,CHEMBL3928520,CN(C)C(=O)C(NC(=O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1)c1ccccc1,EC50,61.3,nM
7791,CHEMBL3410827,CCCCCOc1ccc2c(c1OCCCCC)CN(CCc1ccc(N)cc1)C2=O,Ki,0.1099,nM
7801,CHEMBL2441466,COCCCn1c2ccccc2c2cc(C(=O)N3CCCCC3)ccc21,Ki,83.0,nM
7802,CHEMBL2441464,CS(=O)(=O)NCCCn1c2ccccc2c2cc(C(=O)N3CCCCC3)ccc21,Ki,62.0,nM
7808,CHEMBL2348474,Cc1ccc2c(c1)-c1c(O)cc(C34CC5CC(CC(C5)C3)C4)cc1OC2(C)C,Ki,63.5,nM
7809,CHEMBL2336548,CCN(CC)c1ccc(CN(C2CCCCC2)S(=O)(=O)c2ccc(C(C)C)cc2)cc1,Ki,55.0,nM
7815,CHEMBL4081467,CCCc1sc(NC(=O)C23CC4CC(CC(C4)C2)C3)c(C(=O)O[11CH3])c1C,Ki,4.3,nM
7822,CHEMBL2381796,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccc(Cl)cc3)cc12,Ki,6.31,nM
7823,CHEMBL2381794,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(-c3ccccc3Cl)cc12,Ki,6.21,nM
7831,CHEMBL2205585,COCC(C)(C)NC(=O)c1c(NC(=O)c2ccccc2C(F)(F)F)sc2c1CCOC2,EC50,41.0,nM
7834,CHEMBL2326298,CCN(CC)c1ccc(CN(c2ccc(C)cc2)S(=O)(=O)c2ccc(C)cc2)cc1,Ki,5.395,nM
7837,CHEMBL2206856,CCCCCn1c(C)c(C(=O)c2ccc(F)c3ccccc23)c2ccccc21,Ki,2.2,nM
7838,CHEMBL1215890,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(/C=C/C(C)(C)C)ccc21,Ki,71.6,nM
7844,CHEMBL1223180,FC(F)(F)c1ccccc1-n1nc(-c2nnc(C3(C(F)(F)F)CCC3)s2)c(Cn2cncn2)c1-c1ccc(Cl)cc1,IC50,76.8,nM
7856,CHEMBL3354954,O=C(NC1(CO)CCC1)c1nn(-c2ccc(F)cc2F)c2c1C[C@H]1C[C@@H]21,EC50,1.2,nM
7857,CHEMBL3354953,O=C(NC1(CO)CC1)c1nn(-c2ccc(F)cc2F)c2c1C[C@H]1C[C@@H]21,EC50,13.6,nM
7858,CHEMBL3354938,CC(C)(NC(=O)c1nn(CC2CCOCC2)c2c1C[C@H]1C[C@@H]21)c1ccccc1,EC50,0.7,nM
7868,CHEMBL3647306,CC(C)Cn1cc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1OCCN1CCCC1,Ki,32.0,nM
7869,CHEMBL3686322,CC(C)(C)/C(COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1)=N\O,Ki,5.4,nM
7871,CHEMBL2087095,CCCCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccccc3)ccc21,Ki,20.5,nM
7874,CHEMBL2205610,O=C(Nc1sc2c(c1C(=O)N1CCOCC1)CCOC2)c1c(F)cccc1C(F)(F)F,EC50,95.0,nM
7880,CHEMBL1950928,CC(=O)N1CCC(Cn2c(C(C)(C)C)nc3cc(S(=O)(=O)C4CCCC4)ccc32)CC1,EC50,3.0,nM
7883,CHEMBL1277593,CCCCCCC(C)(C)c1cc(Br)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,Ki,34.0,nM
